"数据收集不易，如使用数据请标注：“疫情数据由澎湃新闻美数课整理提供”。如有问题或建议请在澎湃美数课微信公众号后台联系（ID: Studio839）											",,,,,,,,,,,
链接：https://www.weibo.com/7397903361/IxupGgiZH?from=page_1005057397903361_profile&wvr=6&mod=weibotime,,,,,,,,,,,
数据截至：2020年3月6日,,,,,,,,,,,
,,,,,,,,,,,
ID,输出地,from-lat,from-long,输入地,to-lat,to-long,color,首例确诊时间,大洲,国内媒体报道,是否校对
1,中国,30.59278632,114.3049856,泰国,15.870032,100.992541,1,1月13日,亚洲,http://china.caixin.com/2020-01-17/101506051.html,是
2,中国,30.59278632,114.3049856,日本,36.204824,138.252924,1,1月15日,亚洲,http://www.xinhuanet.com/tech/2020-01/16/c_1125469936.htm,是
3,中国,30.59278632,114.3049856,韩国,35.907757,127.766922,1,1月20日,亚洲,http://www.bjnews.com.cn/world/2020/01/21/677380.html,是
4,中国,30.59278632,114.3049856,美国,37.09024,-95.712891,1,1月21日,美洲,http://www.xinhuanet.com//2020-01/22/c_1125491626.htm,是
5,中国,30.59278632,114.3049856,新加坡,1.352083,103.819836,1,1月23日,亚洲,http://www.xinhuanet.com/world/2020-01/23/c_1125498506.htm,是
6,中国,30.59278632,114.3049856,越南,14.058324,108.277199,1,1月23日,亚洲,https://world.huanqiu.com/article/9CaKrnKp2ZY,是
7,中国,30.59278632,114.3049856,法国,46.227636,2.213749,1,1月24日,欧洲,https://m.weibo.cn/status/4464513665466775?,是
8,中国,30.59278632,114.3049856,马来西亚,4.210484,101.975766,1,1月24日,亚洲,https://m.weibo.cn/5182171545/4464591164035982,是
9,中国,30.59278632,114.3049856,尼泊尔,28.397585,84.132911,1,1月24日,亚洲,http://www.xinhuanet.com/2020-01/25/c_1125500483.htm,是
10,中国,30.59278632,114.3049856,澳大利亚,-25.274398,133.775136,1,1月25日,大洋洲,https://www.thepaper.cn/newsDetail_forward_5631086,是
11,中国,30.59278632,114.3049856,加拿大,56.130365,-106.346771,1,1月25日,美洲,https://wap.peopleapp.com/article/5076442/4971081,是
12,中国,30.59278632,114.3049856,德国,51.165689,10.451526,1,1月27日,欧洲,http://m.news.cctv.com/2020/01/28/ARTIOixX62qZHZs3XZib54gO200128.shtml,是
13,中国,30.59278632,114.3049856,柬埔寨,12.565679,104.990963,1,1月27日,亚洲,https://m.chinanews.com/wap/detail/zw/gj/2020/01-27/9071226.shtml,是
14,中国,30.59278632,114.3049856,斯里兰卡,7.873054,80.771797,1,1月27日,亚洲,http://www.bjnews.com.cn/world/2020/01/28/680656.html,是
15,中国,30.59278632,114.3049856,芬兰,61.924107,25.748151,1,1月29日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiD4VjPTrXM9Zb08AUiDWt200130&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
16,中国,30.59278632,114.3049856,菲律宾,12.879721,121.774017,1,1月30日,亚洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiCgaTLlTnzUpOdXh60dLp200130&fromapp=cctvnews&version=803&allow_comment=1,是
17,中国,30.59278632,114.3049856,印度,20.593684,78.96288,1,1月30日,亚洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiARzpHmahbeDRWrpRhR5k200130&fromapp=cctvnews&version=803&allow_comment=1,是
18,中国,30.59278632,114.3049856,俄罗斯,61.523976,105.318756,1,1月31日,欧洲,http://app.cntv.cn/special/cportal/detail/arti/index.html?id=ArtiryhMAMhX0LBLwLRqu1AU200131&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
19,中国,30.59278632,114.3049856,瑞典,60.12823,18.643501,1,1月31日,欧洲,http://m.news.cctv.com/2020/01/31/ARTIyVqYvHSj2Bo0brOXES9f200131.shtml,是
21,中国,30.59278632,114.3049856,意大利,41.87194,12.56738,1,1月31日,欧洲,http://m.news.cctv.com/2020/01/31/ARTIZ6oPnN9N3IVtKoavmucj200131.shtml,是
22,中国,30.59278632,114.3049856,英国,55.378051,-3.435973,1,1月31日,欧洲,http://www.xinhuanet.com/2020-02/01/c_1125520396.htm,是
20,德国,51.165689,10.451526,西班牙,40.463667,-3.74922,4,1月31日,欧洲,https://www.guancha.cn/internation/2020_02_02_534146.shtml?s=zwyxgtjbt,是
23,中国,30.59278632,114.3049856,比利时,50.503886,4.469936,1,2月4日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiQjcWiIsDtxXuWZutVOyu200204&fromapp=cctvnews&version=803&allow_comment=1,是
24,不明,,,埃及,30.044281,31.340002,,2月14日,非洲,,
25,不明,,,伊朗,32.427908,53.688046,,2月19日,亚洲,,
26,伊朗,32.427908,53.688046,巴林,43.53167393,118.657589,2,2月21日,亚洲,http://m.news.cctv.com/2020/02/24/ARTIYKXN975CZgm0OHll2Nof200224.shtml,是
27,伊朗,32.427908,53.688046,黎巴嫩,33.854721,35.862285,2,2月21日,亚洲,https://weibo.com/5182171545/IvgWP4Dme?from=page_1002065182171545_profile&wvr=6&mod=weibotime,是
28,日本,41.87194,12.56738,以色列,31.046051,34.851612,4,2月21日,亚洲,https://weibo.com/5182171545/IvgWP4Dme?from=page_1002065182171545_profile&wvr=6&mod=weibotime,是
30,中国,30.59278632,114.3049856,阿联酋,23.424076,53.847818,1,2月24日,亚洲,http://m.news.cctv.com/2020/01/29/ARTIiyAJxkOIwNF5XJLxtX5w200129.shtml,是
29,伊朗,32.427908,53.688046,阿富汗,33.93911,67.709953,2,2月24日,亚洲,http://www.bjnews.com.cn/world/2020/02/24/694245.html,是
31,伊朗,32.427908,53.688046,阿曼,21.473533,55.975413,2,2月24日,亚洲,http://m.news.cctv.com/2020/02/25/ARTIwUNTKldG0jJpW8tJCqSU200225.shtml,是
32,伊朗,32.427908,53.688046,科威特,29.31166,47.481766,2,2月24日,亚洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=Arti4m5kmA7yCRd63i7MVdwB200224&fromapp=cctvnews&version=803&allow_comment=1,是
33,伊朗,32.427908,53.688046,伊拉克,33.223191,43.679291,2,2月24日,亚洲,http://m.news.cctv.com/2020/02/24/ARTIZ70kYySays9hytfMnQhD200224.shtml,是
34,意大利,41.87194,12.56738,奥地利,47.516232,14.550072,3,2月25日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtioKLjf7hihAuQ0CdOnTOz200225&fromapp=cctvnews&version=803&allow_comment=1,是
35,意大利,41.87194,12.56738,克罗地亚,45.100003,15.2,3,2月25日,欧洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiPXTsB8yyuA5iUiEBnANd200225&fromapp=cctvnews&version=803&allow_comment=1,是
36,意大利,41.87194,12.56738,瑞士,46.818188,8.227512,3,2月25日,欧洲,https://m.weibo.cn/2656274875/4475995841137681,是
43,中国,30.59278632,114.3049856,挪威,60.471999,8.468946,1,2月26日,欧洲,https://news.163.com/20/0227/13/F6D6T7AE0001899O.html,是
37,意大利,41.87194,12.56738,阿尔及利亚,28.033886,1.659626,3,2月26日,非洲,http://m.news.cctv.com/2020/02/26/ARTIERvW7cyT1AJBtHL9LsV2200226.shtml,是
39,意大利,41.87194,12.56738,巴西,-14.235004,-51.92528,3,2月26日,美洲,http://app.cctv.com/special/cportal/detail/arti/index.html?id=ArtiWIDBDT4HzkbqlJNznd0T200226&fromapp=cctvnews&version=803&version=803&allow_comment=1,是
40,意大利,41.87194,12.56738,北马其顿,41.99467,21.43031,3,2月26日,欧洲,http://m.news.cctv.com/2020/02/27/ARTI1eJFtfuhjvK00JhmVXbP200227.shtml,是
42,意大利,41.87194,12.56738,罗马尼亚,45.943159,24.96676,3,2月26日,欧洲,http://m.news.cctv.com/2020/02/27/ARTIqaaPjPVvm9AX2wfIfFiB200227.shtml,是
